c1,c2,Z
1.0,1.0,49.5
1.0,1.25,20.0
1.0,1.5,18.8
1.0,1.75,28.3
1.0,2.0,33.9
1.0,2.25,18.6
1.0,2.5,26.0
1.0,2.75,19.9
1.0,3.0,48.9
1.0,3.25,18.1
1.0,3.5,24.9
1.0,3.75,15.8
1.0,4.0,26.5
1.0,4.25,19.8
1.0,4.5,15.8
1.0,4.75,21.7
1.25,1.0,35.4
1.25,1.25,25.1
1.25,1.5,36.4
1.25,1.75,18.3
1.25,2.0,26.2
1.25,2.25,14.9
1.25,2.5,19.4
1.25,2.75,17.5
1.25,3.0,13.7
1.25,3.25,26.6
1.25,3.5,13.9
1.25,3.75,12.3
1.25,4.0,28.5
1.25,4.25,16.2
1.25,4.5,18.5
1.25,4.75,53.8
1.5,1.0,50.5
1.5,1.25,34.4
1.5,1.5,35.5
1.5,1.75,35.7
1.5,2.0,27.5
1.5,2.25,22.4
1.5,2.5,20.5
1.5,2.75,21.6
1.5,3.0,27.9
1.5,3.25,15.8
1.5,3.5,11.3
1.5,3.75,22.3
1.5,4.0,20.0
1.5,4.25,11.1
1.5,4.5,15.5
1.5,4.75,15.4
1.75,1.0,19.8
1.75,1.25,36.0
1.75,1.5,41.3
1.75,1.75,38.7
1.75,2.0,9.9
1.75,2.25,23.2
1.75,2.5,37.0
1.75,2.75,48.0
1.75,3.0,18.8
1.75,3.25,25.3
1.75,3.5,15.9
1.75,3.75,20.9
1.75,4.0,12.3
1.75,4.25,18.1
1.75,4.5,11.9
1.75,4.75,25.0
2.0,1.0,24.2
2.0,1.25,31.0
2.0,1.5,27.1
2.0,1.75,23.8
2.0,2.0,23.5
2.0,2.25,16.8
2.0,2.5,17.3
2.0,2.75,17.6
2.0,3.0,12.2
2.0,3.25,17.9
2.0,3.5,18.3
2.0,3.75,11.6
2.0,4.0,73.0
2.0,4.25,25.4
2.0,4.5,19.2
2.0,4.75,24.3
2.25,1.0,17.7
2.25,1.25,29.3
2.25,1.5,33.2
2.25,1.75,24.8
2.25,2.0,26.9
2.25,2.25,35.8
2.25,2.5,21.6
2.25,2.75,61.4
2.25,3.0,29.6
2.25,3.25,24.8
2.25,3.5,8.2
2.25,3.75,15.3
2.25,4.0,23.5
2.25,4.25,14.5
2.25,4.5,16.6
2.25,4.75,12.2
2.5,1.0,16.1
2.5,1.25,25.7
2.5,1.5,27.2
2.5,1.75,23.3
2.5,2.0,7.4
2.5,2.25,23.4
2.5,2.5,18.1
2.5,2.75,29.7
2.5,3.0,24.1
2.5,3.25,17.7
2.5,3.5,20.1
2.5,3.75,13.0
2.5,4.0,14.5
2.5,4.25,13.4
2.5,4.5,17.2
2.5,4.75,13.0
2.75,1.0,30.2
2.75,1.25,26.0
2.75,1.5,17.4
2.75,1.75,24.2
2.75,2.0,32.8
2.75,2.25,15.5
2.75,2.5,16.5
2.75,2.75,21.0
2.75,3.0,11.7
2.75,3.25,23.8
2.75,3.5,29.2
2.75,3.75,20.4
2.75,4.0,18.4
2.75,4.25,31.2
2.75,4.5,14.4
2.75,4.75,17.3
3.0,1.0,49.4
3.0,1.25,35.8
3.0,1.5,25.9
3.0,1.75,21.5
3.0,2.0,15.8
3.0,2.25,18.9
3.0,2.5,21.9
3.0,2.75,19.2
3.0,3.0,29.2
3.0,3.25,19.0
3.0,3.5,16.3
3.0,3.75,13.5
3.0,4.0,31.3
3.0,4.25,19.7
3.0,4.5,28.3
3.0,4.75,20.9
3.25,1.0,22.2
3.25,1.25,21.4
3.25,1.5,29.1
3.25,1.75,30.8
3.25,2.0,29.8
3.25,2.25,17.3
3.25,2.5,15.4
3.25,2.75,22.5
3.25,3.0,30.1
3.25,3.25,19.0
3.25,3.5,15.6
3.25,3.75,14.7
3.25,4.0,17.1
3.25,4.25,10.8
3.25,4.5,37.5
3.25,4.75,12.4
3.5,1.0,15.3
3.5,1.25,12.3
3.5,1.5,24.2
3.5,1.75,23.8
3.5,2.0,26.5
3.5,2.25,14.6
3.5,2.5,31.2
3.5,2.75,26.3
3.5,3.0,17.4
3.5,3.25,14.9
3.5,3.5,23.8
3.5,3.75,25.8
3.5,4.0,18.1
3.5,4.25,15.8
3.5,4.5,12.6
3.5,4.75,14.8
3.75,1.0,9.3
3.75,1.25,16.8
3.75,1.5,14.5
3.75,1.75,26.6
3.75,2.0,22.2
3.75,2.25,11.4
3.75,2.5,12.8
3.75,2.75,11.8
3.75,3.0,23.8
3.75,3.25,37.8
3.75,3.5,14.0
3.75,3.75,14.0
3.75,4.0,11.0
3.75,4.25,16.3
3.75,4.5,13.2
3.75,4.75,15.8
4.0,1.0,15.2
4.0,1.25,26.9
4.0,1.5,34.5
4.0,1.75,28.5
4.0,2.0,26.5
4.0,2.25,30.1
4.0,2.5,24.5
4.0,2.75,26.0
4.0,3.0,14.3
4.0,3.25,16.2
4.0,3.5,22.7
4.0,3.75,19.0
4.0,4.0,19.1
4.0,4.25,12.5
4.0,4.5,39.5
4.0,4.75,20.4
4.25,1.0,23.3
4.25,1.25,26.0
4.25,1.5,25.9
4.25,1.75,19.4
4.25,2.0,17.8
4.25,2.25,16.1
4.25,2.5,16.9
4.25,2.75,24.4
4.25,3.0,22.5
4.25,3.25,14.6
4.25,3.5,18.5
4.25,3.75,18.5
4.25,4.0,18.8
4.25,4.25,17.9
4.25,4.5,25.2
4.25,4.75,12.3
4.5,1.0,22.3
4.5,1.25,32.1
4.5,1.5,26.3
4.5,1.75,30.0
4.5,2.0,14.9
4.5,2.25,27.3
4.5,2.5,13.6
4.5,2.75,10.8
4.5,3.0,10.9
4.5,3.25,15.1
4.5,3.5,18.1
4.5,3.75,21.3
4.5,4.0,17.9
4.5,4.25,25.6
4.5,4.5,15.3
4.5,4.75,12.4
4.75,1.0,23.2
4.75,1.25,27.6
4.75,1.5,13.6
4.75,1.75,21.6
4.75,2.0,19.7
4.75,2.25,19.6
4.75,2.5,13.7
4.75,2.75,17.2
4.75,3.0,19.5
4.75,3.25,18.6
4.75,3.5,26.0
4.75,3.75,11.1
4.75,4.0,33.0
4.75,4.25,13.0
4.75,4.5,12.5
4.75,4.75,13.9
